idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
58481;1.0;2.0;DE;6.0;10.0;2.0;5.0;1;6.0;1.0;34.0;6.0;8.0;7.0;3.0;3.0;0;1
58488;2.0;1.0;DE;3.0;7.0;2.0;5.0;1;1.0;3.0;73.0;5.0;6.0;6.0;5.0;5.0;1;1
58490;1.0;1.0;DE;6.0;3.0;3.0;5.0;0;1.0;3.0;39.0;8.0;8.0;8.0;6.0;6.0;1;1
58498;1.0;1.0;DE;3.0;9.0;3.0;5.0;0;1.0;3.0;52.0;5.0;3.0;8.0;4.0;4.0;1;1
58507;1.0;1.0;DE;3.0;2.0;2.0;5.0;0;6.0;3.0;58.0;5.0;3.0;3.0;0.0;0.0;1;1
58513;1.0;1.0;DE;3.0;10.0;2.0;2.0;1;1.0;4.0;56.0;5.0;6.0;9.0;1.0;1.0;1;1
58525;1.0;1.0;DE;3.0;6.0;4.0;5.0;1;1.0;4.0;36.0;3.0;2.0;6.0;2.0;1.0;1;1
58600;1.0;1.0;DE;5.0;8.0;2.0;5.0;1;4.0;1.0;44.0;3.0;3.0;4.0;2.0;2.0;1;1
58617;2.0;1.0;DE;3.0;3.0;4.0;2.0;1;6.0;3.0;27.0;7.0;7.0;7.0;5.0;6.0;1;1
58623;1.0;1.0;DE;5.0;1.0;2.0;5.0;1;6.0;3.0;45.0;5.0;4.0;7.0;5.0;5.0;1;1
58631;1.0;1.0;DE;5.0;3.0;2.0;5.0;0;1.0;5.0;67.0;7.0;7.0;9.0;5.0;5.0;1;1
58643;3.0;1.0;DE;2.0;5.0;2.0;2.0;1;1.0;3.0;69.0;0.0;10.0;10.0;0.0;0.0;1;0
58649;1.0;1.0;DE;7.0;7.0;3.0;5.0;1;1.0;1.0;59.0;9.0;9.0;10.0;6.0;6.0;1;1
58659;3.0;1.0;DE;5.0;2.0;1.0;4.0;0;6.0;3.0;53.0;3.0;4.0;3.0;5.0;5.0;1;0
58681;1.0;1.0;DE;5.0;7.0;2.0;5.0;0;6.0;3.0;34.0;5.0;5.0;5.0;5.0;5.0;1;1
58688;1.0;1.0;DE;5.0;10.0;2.0;5.0;1;1.0;1.0;67.0;4.0;10.0;10.0;2.0;2.0;1;1
58724;1.0;1.0;DE;3.0;4.0;1.0;5.0;0;6.0;1.0;54.0;0.0;7.0;10.0;0.0;0.0;1;1
58743;1.0;1.0;DE;5.0;7.0;4.0;5.0;0;1.0;3.0;58.0;4.0;7.0;7.0;4.0;4.0;1;1
58769;1.0;1.0;DE;3.0;5.0;1.0;1.0;0;5.0;1.0;86.0;4.0;8.0;8.0;5.0;3.0;1;1
58801;1.0;2.0;DE;5.0;8.0;3.0;5.0;1;1.0;1.0;40.0;1.0;1.0;1.0;0.0;0.0;0;1
58827;1.0;1.0;DE;3.0;7.0;3.0;5.0;1;6.0;2.0;18.0;7.0;6.0;7.0;5.0;5.0;1;1
58856;3.0;2.0;DE;3.0;5.0;2.0;4.0;1;1.0;4.0;60.0;0.0;2.0;3.0;0.0;3.0;0;0
