idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
57737;3.0;1.0;FR;7.0;7.0;4.0;5.0;0;2.0;4.0;37.0;0.0;0.0;0.0;0.0;0.0;1;0
57740;1.0;1.0;FR;5.0;7.0;2.0;5.0;1;6.0;4.0;57.0;8.0;4.0;5.0;4.0;2.0;1;1
57765;1.0;1.0;FR;6.0;6.0;4.0;5.0;1;2.0;1.0;37.0;3.0;5.0;5.0;5.0;4.0;1;1
57773;1.0;1.0;FR;7.0;10.0;2.0;5.0;0;1.0;3.0;67.0;1.0;7.0;6.0;5.0;2.0;1;1
57824;1.0;1.0;FR;4.0;5.0;5.0;5.0;1;6.0;4.0;44.0;3.0;6.0;7.0;5.0;6.0;1;1
57852;3.0;2.0;FR;4.0;7.0;1.0;5.0;1;6.0;3.0;38.0;0.0;1.0;2.0;0.0;0.0;0;0
57893;2.0;1.0;FR;5.0;3.0;1.0;5.0;1;6.0;3.0;29.0;5.0;3.0;7.0;5.0;5.0;1;1
57915;3.0;2.0;FR;4.0;8.0;3.0;5.0;1;6.0;3.0;19.0;4.0;4.0;4.0;6.0;1.0;0;0
57916;1.0;2.0;FR;3.0;4.0;3.0;5.0;0;6.0;1.0;26.0;2.0;4.0;6.0;2.0;2.0;0;1
57920;1.0;1.0;FR;7.0;2.0;1.0;5.0;1;4.0;2.0;31.0;7.0;9.0;8.0;5.0;5.0;1;1
57940;3.0;1.0;FR;2.0;4.0;2.0;1.0;0;1.0;4.0;81.0;4.0;5.0;8.0;0.0;0.0;1;0
57942;1.0;1.0;FR;4.0;1.0;1.0;4.0;1;2.0;1.0;60.0;2.0;7.0;7.0;0.0;0.0;1;1
57964;3.0;2.0;FR;4.0;8.0;5.0;5.0;0;6.0;3.0;22.0;0.0;2.0;2.0;1.0;0.0;0;0
57999;1.0;1.0;FR;5.0;6.0;3.0;5.0;0;1.0;3.0;45.0;5.0;7.0;9.0;5.0;5.0;1;1
58013;1.0;1.0;FR;4.0;7.0;2.0;5.0;1;1.0;3.0;72.0;7.0;2.0;10.0;5.0;2.0;1;1
58045;3.0;1.0;FR;2.0;1.0;5.0;5.0;0;6.0;1.0;16.0;6.0;8.0;8.0;6.0;5.0;1;0
58077;1.0;1.0;FR;3.0;4.0;3.0;5.0;1;4.0;3.0;57.0;0.0;0.0;3.0;0.0;0.0;1;1
58091;3.0;1.0;FR;5.0;8.0;3.0;5.0;0;6.0;4.0;28.0;3.0;5.0;6.0;1.0;1.0;1;0
58120;3.0;1.0;FR;4.0;8.0;2.0;5.0;1;1.0;3.0;65.0;5.0;5.0;7.0;7.0;7.0;1;0
58127;3.0;2.0;FR;4.0;5.0;1.0;5.0;1;6.0;4.0;25.0;0.0;0.0;0.0;0.0;0.0;0;0
58158;3.0;1.0;FR;4.0;10.0;4.0;5.0;1;1.0;4.0;43.0;2.0;5.0;8.0;2.0;1.0;1;0
58185;1.0;1.0;FR;3.0;5.0;5.0;5.0;1;6.0;1.0;19.0;0.0;0.0;0.0;0.0;0.0;1;1
58187;3.0;1.0;FR;6.0;8.0;2.0;5.0;0;1.0;4.0;53.0;4.0;6.0;7.0;2.0;2.0;1;0
58202;1.0;1.0;FR;7.0;8.0;4.0;5.0;0;2.0;2.0;46.0;3.0;7.0;6.0;4.0;4.0;1;1
58226;1.0;1.0;FR;4.0;6.0;4.0;5.0;1;6.0;4.0;18.0;6.0;6.0;7.0;4.0;4.0;1;1
58283;1.0;1.0;FR;4.0;4.0;2.0;5.0;1;1.0;5.0;57.0;1.0;0.0;4.0;0.0;0.0;1;1
58291;3.0;1.0;FR;3.0;8.0;2.0;5.0;1;1.0;4.0;62.0;5.0;8.0;8.0;5.0;5.0;1;0
58295;1.0;1.0;FR;7.0;10.0;4.0;5.0;1;1.0;2.0;46.0;5.0;2.0;5.0;3.0;3.0;1;1
58330;1.0;1.0;FR;4.0;10.0;4.0;5.0;0;6.0;2.0;18.0;7.0;6.0;8.0;4.0;4.0;1;1
58335;1.0;1.0;FR;3.0;3.0;4.0;5.0;1;6.0;3.0;32.0;0.0;4.0;3.0;1.0;1.0;1;1
58346;3.0;1.0;FR;5.0;9.0;4.0;5.0;0;2.0;4.0;36.0;3.0;3.0;7.0;4.0;4.0;1;0
58385;3.0;1.0;FR;7.0;8.0;3.0;5.0;1;1.0;4.0;58.0;4.0;5.0;5.0;5.0;5.0;1;0
58386;3.0;1.0;FR;5.0;4.0;2.0;5.0;1;4.0;1.0;50.0;4.0;3.0;6.0;3.0;3.0;1;0
58391;1.0;1.0;FR;6.0;8.0;4.0;5.0;1;2.0;3.0;30.0;5.0;3.0;4.0;5.0;4.0;1;1
58399;1.0;1.0;FR;4.0;5.0;1.0;4.0;0;6.0;4.0;46.0;4.0;7.0;8.0;4.0;3.0;1;1
58422;3.0;1.0;FR;3.0;4.0;2.0;1.0;0;1.0;3.0;75.0;5.0;5.0;8.0;5.0;5.0;1;0
58436;3.0;1.0;FR;5.0;9.0;3.0;5.0;1;1.0;2.0;54.0;4.0;4.0;5.0;3.0;2.0;1;0
58453;3.0;1.0;FR;4.0;5.0;4.0;5.0;0;2.0;3.0;47.0;2.0;4.0;7.0;3.0;4.0;1;0
58499;3.0;1.0;FR;4.0;1.0;1.0;1.0;1;6.0;5.0;72.0;0.0;5.0;9.0;4.0;9.0;1;0
58544;1.0;1.0;FR;7.0;1.0;3.0;5.0;1;4.0;1.0;43.0;2.0;8.0;6.0;6.0;3.0;1;1
58577;1.0;1.0;FR;5.0;8.0;1.0;3.0;0;4.0;5.0;74.0;4.0;4.0;5.0;3.0;2.0;1;1
58641;3.0;1.0;FR;6.0;7.0;4.0;4.0;0;1.0;4.0;31.0;0.0;2.0;4.0;2.0;2.0;1;0
58642;1.0;1.0;FR;2.0;6.0;4.0;5.0;1;6.0;1.0;17.0;6.0;7.0;8.0;7.0;8.0;1;1
58708;1.0;1.0;FR;4.0;8.0;2.0;5.0;1;1.0;4.0;69.0;6.0;7.0;9.0;6.0;6.0;1;1
58726;1.0;1.0;FR;4.0;10.0;2.0;5.0;0;1.0;3.0;61.0;3.0;5.0;5.0;2.0;2.0;1;1
58738;1.0;1.0;FR;3.0;6.0;2.0;4.0;1;4.0;3.0;55.0;0.0;5.0;5.0;3.0;5.0;1;1
58745;3.0;1.0;FR;3.0;2.0;1.0;1.0;1;6.0;3.0;81.0;5.0;8.0;9.0;7.0;5.0;1;0
58749;1.0;1.0;FR;7.0;9.0;3.0;5.0;0;1.0;3.0;36.0;6.0;6.0;5.0;5.0;5.0;1;1
58757;3.0;1.0;FR;3.0;7.0;2.0;4.0;0;1.0;4.0;76.0;5.0;8.0;9.0;5.0;5.0;1;0
58790;1.0;2.0;FR;5.0;5.0;4.0;5.0;0;2.0;4.0;35.0;0.0;3.0;4.0;0.0;0.0;0;1
58854;1.0;1.0;FR;5.0;7.0;4.0;5.0;0;2.0;4.0;35.0;5.0;6.0;6.0;3.0;3.0;1;1
58860;2.0;1.0;FR;4.0;5.0;3.0;5.0;0;6.0;4.0;36.0;2.0;7.0;6.0;0.0;0.0;1;1
58881;1.0;1.0;FR;4.0;8.0;2.0;5.0;0;1.0;4.0;42.0;3.0;2.0;3.0;3.0;3.0;1;1
58914;3.0;2.0;FR;3.0;6.0;3.0;5.0;1;1.0;3.0;53.0;1.0;1.0;5.0;1.0;1.0;0;0
58916;1.0;1.0;FR;4.0;7.0;3.0;5.0;0;1.0;2.0;54.0;0.0;6.0;6.0;2.0;2.0;1;1
58928;3.0;1.0;FR;6.0;7.0;5.0;5.0;0;6.0;3.0;22.0;4.0;7.0;8.0;4.0;5.0;1;0
58942;1.0;1.0;FR;3.0;6.0;2.0;3.0;1;4.0;1.0;67.0;7.0;2.0;5.0;3.0;2.0;1;1
58963;1.0;1.0;FR;1.0;4.0;2.0;5.0;1;4.0;3.0;79.0;3.0;5.0;8.0;2.0;2.0;1;1
58997;1.0;1.0;FR;7.0;9.0;2.0;5.0;0;1.0;2.0;68.0;6.0;7.0;5.0;4.0;4.0;1;1
59010;2.0;1.0;FR;5.0;8.0;2.0;5.0;1;1.0;3.0;71.0;6.0;7.0;7.0;7.0;6.0;1;1
59043;3.0;1.0;FR;5.0;8.0;2.0;5.0;1;1.0;4.0;63.0;7.0;6.0;7.0;6.0;6.0;1;0
59067;1.0;1.0;FR;7.0;4.0;1.0;5.0;0;1.0;5.0;58.0;7.0;7.0;7.0;5.0;7.0;1;1
59096;1.0;1.0;FR;2.0;6.0;4.0;3.0;0;6.0;5.0;41.0;1.0;1.0;8.0;2.0;6.0;1;1
59128;3.0;1.0;FR;3.0;8.0;2.0;3.0;1;1.0;4.0;59.0;4.0;6.0;7.0;6.0;5.0;1;0
