idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
70169;1.0;1.0;IT;2.0;5.0;1.0;5.0;0;6.0;4.0;52.0;6.0;8.0;9.0;6.0;6.0;1;1
70172;1.0;1.0;IT;2.0;4.0;2.0;5.0;0;1.0;4.0;77.0;9.0;8.0;9.0;9.0;9.0;1;1
70189;1.0;1.0;IT;2.0;5.0;1.0;5.0;0;6.0;3.0;51.0;0.0;6.0;7.0;0.0;0.0;1;1
70207;1.0;1.0;IT;6.0;8.0;3.0;5.0;0;6.0;3.0;28.0;6.0;7.0;8.0;5.0;5.0;1;1
70212;1.0;1.0;IT;7.0;5.0;4.0;5.0;1;1.0;4.0;53.0;6.0;5.0;6.0;5.0;5.0;1;1
70214;3.0;1.0;IT;7.0;5.0;1.0;5.0;1;6.0;4.0;38.0;6.0;8.0;8.0;2.0;2.0;1;0
70250;3.0;2.0;IT;7.0;7.0;1.0;5.0;0;6.0;1.0;41.0;4.0;0.0;7.0;3.0;1.0;0;0
70252;1.0;1.0;IT;4.0;5.0;1.0;5.0;0;6.0;2.0;21.0;6.0;6.0;3.0;5.0;0.0;1;1
70293;1.0;1.0;IT;4.0;5.0;1.0;4.0;1;4.0;2.0;61.0;5.0;7.0;8.0;3.0;2.0;1;1
70307;3.0;1.0;IT;5.0;5.0;2.0;4.0;0;1.0;3.0;69.0;8.0;5.0;6.0;6.0;6.0;1;0
70308;1.0;1.0;IT;4.0;8.0;3.0;5.0;0;1.0;1.0;46.0;4.0;7.0;7.0;3.0;3.0;1;1
70315;3.0;1.0;IT;2.0;5.0;2.0;1.0;0;1.0;3.0;79.0;6.0;6.0;7.0;5.0;5.0;1;0
70317;1.0;2.0;IT;6.0;8.0;4.0;5.0;1;1.0;3.0;47.0;8.0;8.0;8.0;5.0;5.0;0;1
