idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
77681;2.0;2.0;ES;5.0;7.0;2.0;5.0;0;6.0;3.0;39.0;0.0;0.0;0.0;0.0;0.0;0;1
77721;3.0;1.0;ES;1.0;3.0;2.0;4.0;0;1.0;4.0;64.0;5.0;8.0;9.0;3.0;4.0;1;0
77796;1.0;1.0;ES;1.0;6.0;4.0;5.0;0;6.0;3.0;36.0;0.0;5.0;9.0;0.0;1.0;1;1
77802;3.0;1.0;ES;4.0;4.0;2.0;1.0;0;1.0;1.0;68.0;3.0;5.0;9.0;0.0;0.0;1;0
77813;1.0;1.0;ES;5.0;8.0;2.0;5.0;1;1.0;4.0;34.0;5.0;4.0;7.0;0.0;2.0;1;1
77825;3.0;1.0;ES;2.0;4.0;3.0;1.0;1;1.0;4.0;61.0;5.0;5.0;10.0;0.0;0.0;1;0
77839;3.0;1.0;ES;7.0;10.0;5.0;5.0;1;6.0;2.0;25.0;6.0;7.0;3.0;3.0;3.0;1;0
77841;1.0;1.0;ES;6.0;4.0;3.0;5.0;1;6.0;1.0;49.0;5.0;3.0;6.0;2.0;5.0;1;1
77865;3.0;1.0;ES;4.0;4.0;1.0;5.0;1;5.0;1.0;64.0;5.0;5.0;6.0;4.0;4.0;1;0
77870;1.0;1.0;ES;5.0;9.0;3.0;4.0;1;1.0;2.0;44.0;2.0;5.0;7.0;0.0;0.0;1;1
77889;3.0;1.0;ES;2.0;5.0;3.0;4.0;0;6.0;4.0;36.0;0.0;6.0;6.0;0.0;0.0;1;0
77943;1.0;1.0;ES;2.0;6.0;3.0;5.0;0;6.0;5.0;17.0;0.0;0.0;3.0;0.0;2.0;1;1
78013;1.0;1.0;ES;4.0;5.0;2.0;5.0;1;1.0;3.0;66.0;7.0;7.0;9.0;4.0;4.0;1;1
78014;1.0;1.0;ES;6.0;6.0;4.0;5.0;1;6.0;3.0;24.0;7.0;5.0;7.0;1.0;2.0;1;1
78081;3.0;1.0;ES;1.0;1.0;1.0;1.0;1;5.0;1.0;85.0;2.0;2.0;8.0;0.0;0.0;1;0
78130;3.0;1.0;ES;7.0;8.0;3.0;5.0;1;1.0;4.0;40.0;4.0;8.0;9.0;1.0;1.0;1;0
78152;3.0;1.0;ES;5.0;2.0;2.0;1.0;0;1.0;1.0;84.0;6.0;8.0;5.0;3.0;3.0;1;0
78169;3.0;1.0;ES;4.0;2.0;2.0;5.0;1;1.0;3.0;66.0;2.0;3.0;8.0;3.0;2.0;1;0
78192;3.0;1.0;ES;2.0;7.0;2.0;2.0;0;1.0;4.0;66.0;8.0;10.0;10.0;7.0;6.0;1;0
78207;3.0;1.0;ES;2.0;4.0;2.0;3.0;1;1.0;1.0;75.0;6.0;3.0;7.0;3.0;3.0;1;0
78213;1.0;1.0;ES;2.0;8.0;3.0;5.0;0;6.0;3.0;28.0;5.0;8.0;8.0;3.0;5.0;1;1
78240;1.0;1.0;ES;7.0;9.0;3.0;5.0;0;1.0;3.0;35.0;6.0;7.0;8.0;1.0;1.0;1;1
78321;1.0;1.0;ES;2.0;6.0;2.0;1.0;0;6.0;4.0;62.0;0.0;4.0;7.0;0.0;1.0;1;1
78335;3.0;1.0;ES;1.0;3.0;1.0;1.0;1;5.0;3.0;84.0;0.0;0.0;10.0;4.0;5.0;1;0
78347;1.0;1.0;ES;1.0;5.0;1.0;5.0;1;4.0;1.0;69.0;0.0;10.0;10.0;0.0;0.0;1;1
78348;1.0;1.0;ES;4.0;10.0;6.0;5.0;0;4.0;3.0;42.0;0.0;5.0;5.0;0.0;0.0;1;1
78366;1.0;1.0;ES;6.0;5.0;4.0;5.0;1;6.0;2.0;25.0;6.0;4.0;4.0;4.0;4.0;1;1
78376;3.0;1.0;ES;6.0;5.0;4.0;5.0;1;1.0;4.0;41.0;4.0;3.0;8.0;2.0;2.0;1;0
78377;1.0;1.0;ES;1.0;4.0;2.0;4.0;1;1.0;4.0;77.0;0.0;5.0;7.0;0.0;0.0;1;1
78384;1.0;1.0;ES;3.0;6.0;2.0;5.0;1;1.0;3.0;54.0;8.0;9.0;10.0;7.0;7.0;1;1
78387;1.0;1.0;ES;2.0;2.0;3.0;5.0;1;6.0;1.0;23.0;5.0;5.0;3.0;3.0;3.0;1;1
78399;1.0;1.0;ES;3.0;5.0;4.0;5.0;0;6.0;4.0;20.0;6.0;6.0;7.0;4.0;3.0;1;1
78414;1.0;1.0;ES;1.0;5.0;1.0;1.0;0;5.0;4.0;86.0;3.0;5.0;7.0;0.0;0.0;1;1
78437;3.0;1.0;ES;3.0;3.0;4.0;5.0;0;6.0;1.0;22.0;6.0;7.0;9.0;4.0;4.0;1;0
78442;1.0;1.0;ES;6.0;3.0;3.0;4.0;1;1.0;3.0;55.0;8.0;8.0;9.0;6.0;5.0;1;1
78456;1.0;1.0;ES;7.0;10.0;4.0;5.0;1;6.0;3.0;29.0;5.0;5.0;6.0;4.0;4.0;1;1
78482;1.0;1.0;ES;1.0;5.0;5.0;5.0;1;6.0;4.0;18.0;0.0;0.0;0.0;0.0;0.0;1;1
78520;3.0;1.0;ES;1.0;5.0;2.0;5.0;0;6.0;1.0;17.0;5.0;5.0;8.0;5.0;5.0;1;0
78521;3.0;1.0;ES;6.0;6.0;2.0;5.0;1;1.0;3.0;68.0;7.0;7.0;7.0;5.0;5.0;1;0
78565;3.0;1.0;ES;2.0;2.0;2.0;2.0;1;1.0;4.0;68.0;0.0;4.0;10.0;0.0;0.0;1;0
78567;1.0;1.0;ES;2.0;2.0;1.0;5.0;0;4.0;4.0;56.0;4.0;10.0;10.0;0.0;3.0;1;1
78603;1.0;1.0;ES;2.0;4.0;4.0;3.0;1;1.0;1.0;29.0;7.0;5.0;7.0;5.0;4.0;1;1
78617;1.0;1.0;ES;3.0;7.0;5.0;5.0;1;6.0;1.0;31.0;8.0;9.0;10.0;5.0;5.0;1;1
